Engine_Temperature, Engine_RPM  , Coolant_Temperature, Oil_Level   , Battery_Voltage, Mileage    , Tire_Pressure, Fuel_Pressure, penalty     , RUL_Hours
       97.04558232, 2209.511046 ,         90.37761118, 104.2207075 ,     23.37391684, 415643.0785,  114.909509  ,  109.8895064 , 51.1907885  , 1279.633642
      106.3156271 , 1912.53188  ,         95.81421393,  97.66830946,     24.5040831 , 130861.5695,  113.8660236 ,  127.0507049 , 77.36293577 , 1245.58689
      100.1104895 , 2203.417105 ,         89.38966984, 117.7692961 ,     24.54465891, 351958.4119,  111.6738867 ,  126.6044577 , 25.43331051 , 1292.894922
      106.2834172 , 1261.667678 ,         97.19957961,  88.18252218,     23.99369163, 292429.401 ,  117.1450462 ,  126.6693418 , 9.834270716 , 1348.425708
      103.6419905 , 2189.638798 ,         86.17043482,  90.5225407 ,     24.40343255, 115198.0678,  119.6340025 ,  129.6440095 , 2.804954785 , 1342.913691
      108.3250282 , 1739.488878 ,         89.27263231,  81.19554202,     24.92830011, 235764.4221,   94.04212442,  116.1328645 , 15.61665898 , 1341.971449
       93.22587689, 2485.876497 ,        102.1402314 , 104.1703927 ,     24.74526595, 293323.1324,  102.3333491 ,  119.9134171 , 116.3006997 , 1247.508754
       97.40049021,  547.96562  ,         85.55653841, 119.8421355 ,     24.2043549 , 294132.4817,  103.4831076 ,   95.36833695, 69.77875669 , 1285.533583
      107.1955274 ,  834.356286 ,         96.79001519, 117.4071457 ,     23.60532188, 246316.2589,  105.336669  ,  118.7287234 , -26.9074005 , 1390.062664
      100.8497681 , 1970.932786 ,         86.24020132,  75.01308038,     24.87631886, 105085.7556,   99.11230833,  137.6428836 , -28.11905829, 1376.728413
      108.7440269 , 1977.277962 ,         93.25970368,  82.06180331,     23.85781996, 382568.5358,   94.2605283 ,  129.3222474 , 50.77536522 , 1275.484767
       99.33087472,  651.4134419,         89.06783357, 119.5866368 ,     24.55789089, 300552.5982,   90.36861296,  131.3046312 , 44.30801277 , 1326.848271
